city,meal_price,coffee_price,beer_price,transport_ticket,taxi_km,rent_city_center,avg_salary,daily_accommodation,daily_cost_estimate
"Noida, India",3.96,1.7,1.58,0.66,0.18,163.48,559.88,8.174,14.494
"Kaunas, Lithuania",6.56,2.45,3.17,1.09,0.66,400.02,885.29,20.000999999999998,30.101
"Athens, Greece",10.97,3.52,4.39,1.54,0.81,446.99,855.04,22.3495,38.3795
"Baghdad, Iraq",5.92,1.86,3.0,0.63,2.0,480.64,583.25,24.032000000000004,32.44200000000001
"Hong Kong, Hong Kong",6.45,4.77,6.45,1.29,1.1,2298.73,2887.01,114.93650000000001,127.44650000000001
"Portland, OR, United States",15.0,4.32,5.0,2.5,1.62,1573.36,3764.07,78.66799999999999,100.488
"Lisbon, Portugal",8.74,1.65,2.19,1.75,0.51,984.02,1074.68,49.20099999999999,61.340999999999994
"Beijing, China",4.22,4.25,1.9,0.56,0.32,1047.05,1312.16,52.35249999999999,61.38249999999999
"Cape Town, South Africa",7.65,1.56,1.91,0.93,0.66,600.01,1010.11,30.000500000000002,40.1405
"Tirana, Albania",4.43,1.29,1.42,0.35,2.21,334.37,388.03,16.7185,22.7885
"Porto, Portugal",7.66,1.71,2.19,1.42,0.55,755.42,898.45,37.770999999999994,48.56099999999999
"Durban, South Africa",6.56,1.4,1.37,0.82,0.66,272.47,858.87,13.623500000000002,22.4035
"Budapest, Hungary",6.28,1.48,1.73,1.1,0.94,522.73,815.65,26.136499999999998,34.9965
"Vilnius, Lithuania",7.65,2.37,3.28,1.09,0.66,555.12,1034.93,27.756,38.866
"Johannesburg, South Africa",8.2,1.58,1.7,1.7,0.68,410.28,1088.34,20.513999999999996,31.993999999999993
"Barcelona, Spain",13.13,1.95,3.01,2.41,1.28,1054.28,1577.79,52.714,70.20400000000001
"San Diego, CA, United States",15.0,4.28,6.0,2.5,1.86,2132.26,5148.17,106.61300000000003,128.39300000000003
"San Francisco, CA, United States",18.0,4.6,7.0,3.0,2.17,3500.92,7893.5,175.046,200.646
"Lima, Peru",4.36,2.41,2.33,0.58,1.45,534.14,500.7,26.707,34.057
"Pretoria, South Africa",6.56,1.49,1.48,2.65,0.66,279.96,1103.68,13.997999999999998,24.697999999999997
"Seattle, WA, United States",17.25,4.49,6.0,2.75,1.68,2119.47,5683.42,105.97349999999997,130.46349999999998
"Bucharest, Romania",6.78,2.19,1.81,0.29,0.45,455.48,786.67,22.774,32.034
"Ahmedabad, India",1.98,1.52,2.51,0.26,0.2,206.43,326.6,10.3215,14.0815
"Cluj-Napoca, Romania",5.99,1.82,1.81,0.56,0.58,440.53,725.01,22.0265,30.3965
"Madrid, Spain",13.16,2.04,3.29,1.65,1.21,1088.79,1798.23,54.439499999999995,71.28949999999999
"Tallinn, Estonia",8.74,2.99,4.37,2.19,0.66,591.77,1315.0,29.588499999999996,43.5085
"Bangalore, India",2.64,1.84,1.98,0.53,0.26,233.9,639.28,11.695,16.705000000000002
"Iasi, Romania",5.65,1.7,1.36,0.56,0.56,313.58,592.73,15.678999999999998,23.589
"Chennai, India",1.58,1.69,1.98,0.26,0.2,177.39,436.42,8.869499999999999,12.3995
"Haifa, Israel",17.09,3.52,8.54,1.68,1.21,661.11,2244.21,33.055499999999995,55.345499999999994
"Doha, Qatar",8.24,4.99,12.91,0.69,0.55,1538.67,3218.44,76.93350000000001,90.85350000000001
"Delhi, India",3.96,1.75,1.98,0.4,0.2,233.05,522.96,11.6525,17.7625
"Gurgaon, India",3.96,1.89,2.38,0.53,0.2,252.04,940.31,12.602,18.982
"Vienna, Austria",10.94,3.64,4.38,2.63,1.55,959.11,2285.91,47.9555,65.16550000000001
"Hyderabad, India",2.64,1.24,1.58,0.33,0.2,173.15,500.64,8.657499999999999,12.8675
"Montevideo, Uruguay",7.94,2.35,2.27,0.86,0.59,440.53,638.75,22.0265,33.1765
"Jaipur, India",1.98,1.56,1.32,0.26,0.2,149.16,442.72,7.457999999999999,11.258
"Tel Aviv-Yafo, Israel",17.07,3.74,8.54,1.68,1.1,1455.41,2615.78,72.77050000000001,95.26050000000001
"Timisoara, Romania",5.65,1.7,1.36,0.56,0.56,310.95,760.07,15.5475,23.4575
"Taipei, Taiwan",4.0,2.98,1.67,0.67,0.83,567.32,1503.68,28.366,36.016
"Kolkata, India",2.64,1.57,1.85,0.13,0.25,153.15,375.3,7.657500000000001,11.9975
"Lucknow (Lakhnau), India",2.64,1.87,1.55,0.43,0.13,127.47,381.25,6.3735,11.3135
"Skopje, North Macedonia",5.33,1.6,1.78,0.62,0.44,275.79,429.41,13.789500000000002,21.3395
"Shanghai, China",4.93,4.3,1.41,0.56,0.42,1119.53,1436.8,55.9765,65.76650000000001
"Bangkok, Thailand",2.2,2.41,2.35,1.16,0.31,667.85,740.3,33.3925,39.1625
"Mumbai, India",3.96,2.01,2.34,0.26,0.29,583.72,549.79,29.186,35.416
"Shenzhen, China",4.22,4.34,1.41,0.49,0.36,782.69,1183.55,39.1345,48.1845
"Reykjavik, Iceland",17.48,4.12,8.39,3.29,2.45,1357.34,2785.79,67.867,92.757
"Amman, Jordan",7.05,4.27,7.05,0.71,0.45,413.98,651.68,20.698999999999998,32.729
